Reimann | is | Czech
Monreal | plays_for | Arsenal
Monreal | plays_for | Arsenal
Monreal | plays_for | Arsenal
Leno | plays_for | Arsenal
Leno | plays_for | Bayer
Leno | plays_for | Arsenal
Mustafi | is | German
Mustafi | plays_for | Arsenal
Mustafi | plays_for | Arsenal
Sagna | plays_for | Arsenal
Mustafi | plays_for | Hotspur
Fernández | is | Spanish
Welbeck | plays_for | City
Bent | plays_for | City
Malbranque | plays_for | Arsenal
Welbeck | plays_for | Hotspur
Cleverley | plays_for | Hotspur
Welbeck | plays_for | City
Welbeck | plays_for | Arsenal
Welbeck | plays_for | Arsenal
Wenger | plays_for | Arsenal
Danny | plays_for | Arsenal
Welbeck | plays_for | Arsenal
Welbeck | plays_for | City
Welbeck | plays_for | Arsenal
Preston | plays_for | Arsenal
Giroud | plays_for | Arsenal
Giroud | plays_for | Arsenal
Welbeck | plays_for | Southampton
Walcott | plays_for | Arsenal
Welbeck | plays_for | Arsenal
Welbeck | plays_for | Arsenal
Welbeck | plays_for | Arsenal
Adebayor | plays_for | Arsenal
Kanu | plays_for | Arsenal
Henry | plays_for | Arsenal
Persie | plays_for | Arsenal
Jenkinson | plays_for | Arsenal
Oxlade-Chamberlain | plays_for | Arsenal
Gibbs | plays_for | Arsenal
Ramsey | plays_for | Arsenal
Wilshere | plays_for | Arsenal
Jenkinson | plays_for | Arsenal
Vermaelen | plays_for | Arsenal
Koscielny | plays_for | Arsenal
Sagna | plays_for | Arsenal
Jenkinson | plays_for | Arsenal
Jenkinson | plays_for | Arsenal
Málaga | plays_for | City
Jenkinson | plays_for | Arsenal
Jenkinson | plays_for | City
Agüero | plays_for | City
Jenkinson | plays_for | Southampton
Jenkinson | plays_for | Arsenal
Konstantinos | is | Greek
Olié | is | French
Mustafi | plays_for | City
Guendouzi | plays_for | Arsenal
Guendouzi | plays_for | Arsenal
Kolašinac | plays_for | Chelsea
Kolašinac | plays_for | Arsenal
Xhaka | is | Swiss
Elneny | plays_for | Liverpool
Xhaka | plays_for | Arsenal
Moss | plays_for | Arsenal
Xhaka | plays_for | Arsenal
Xhaka | plays_for | UEFA
Puel | plays_for | Arsenal
Ospina | plays_for | Arsenal
Ospina | plays_for | Arsenal
Ospina | plays_for | Arsenal
Viviano | plays_for | Arsenal
Ospina | plays_for | Southampton
Szczęsny | plays_for | Galatasaray
Ospina | plays_for | Arsenal
Szczęsny | plays_for | Southampton
Ospina | plays_for | City
Ospina | plays_for | Arsenal
Cavani | plays_for | Arsenal
Ospina | plays_for | Arsenal
Ospina | plays_for | Arsenal
Chambers | plays_for | Southampton
Chambers | plays_for | Arsenal
Martinez | plays_for | Arsenal
Szczęsny | plays_for | Liverpool
Fabiański | plays_for | Liverpool
Martínez | plays_for | Arsenal
Martinez | plays_for | Arsenal
Asano | plays_for | Arsenal
